WoS Source UT,WoS Cited Reference UT,Cited Author,Times Cited,Pub Year,Volume,Page,Cited Work,Cited Title,DOI
WOS:000361949000001,WOS:000349098600016,"Gaglioti, Anne",27,2014,179,1236,MILITARY MEDICINE,Non-VA Primary Care Providers' Perspectives on Comanagement for Rural Veterans,10.7205/MILMED-D-13-00342
WOS:000361949000001,WOS:000300551300019,"Kizer, Kenneth W.",49,2012,307,789,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,Veterans and the Affordable Care Act,10.1001/jama.2012.196
WOS:000361949000001,WOS:000294957900006,"Liu, Chuan-Fen",69,2011,49,911,MEDICAL CARE,Reliance on Veterans Affairs Outpatient Care by Medicare-eligible Veterans,10.1097/MLR.0b013e31822396c5
WOS:000361949000001,WOS:000282448500018,"McCarthy, John F.",5,2010,61,1035,PSYCHIATRIC SERVICES,Access-Related Measures and Out-of-System Utilization Among Veterans With Bipolar Disorder,10.1176/appi.ps.61.10.1035
WOS:000361949000001,WOS:000277291400010,"Petersen, Laura A.",113,2010,45,762,HEALTH SERVICES RESEARCH,Relationship between Clinical Conditions and Use of Veterans Affairs Health Care among Medicare-Enrolled Veterans,10.1111/j.1475-6773.2010.01107.x
WOS:000361949000001,MEDLINE:20635273,"Zhu, Carolyn W",11,2010,29,91,Home health care services quarterly,A random effects multinomial logit analysis of using Medicare and VA healthcare among veterans with dementia.,10.1080/01621424.2010.493771
WOS:000361949000001,WOS:000272066300015,"Grubaugh, Anouk L.",6,2009,31,589,GENERAL HOSPITAL PSYCHIATRY,Use of dual health care services among veterans seen in Veterans Affairs primary care clinics,10.1016/j.genhosppsych.2009.04.007
WOS:000361949000001,WOS:000269494600016,"West, Alan N.",23,2009,44,1718,HEALTH SERVICES RESEARCH,Health Care Expenditures for Urban and Rural Veterans in Veterans Health Administration Care,10.1111/j.1475-6773.2009.00988.x
WOS:000361949000001,WOS:000267283700007,"Berke, Ethan M.",21,2009,25,259,JOURNAL OF RURAL HEALTH,Practical and Policy Implications of Using Different Rural-Urban Classification Systems: A Case Study of Inpatient Service Utilization Among Veterans Administration Users,10.1111/j.1748-0361.2009.00228.x
WOS:000361949000001,WOS:000263379300003,"Liu, Chuan-Fen",38,2009,24,305,JOURNAL OF GENERAL INTERNAL MEDICINE,Dual Use of VA and Non-VA Services Among Primary Care Patients with Depression,10.1007/s11606-008-0867-7
WOS:000361949000001,WOS:000253665200011,"Ross, Joseph S.",24,2008,46,309,MEDICAL CARE,Dual use of veterans affairs services and use of recommended ambulatory care,10.1097/MLR.0b013e31815b9db3
WOS:000361949000001,WOS:000246847100001,"Wolinsky, Fredric D.",37,2007,7,,BMC HEALTH SERVICES RESEARCH,Exploring the association of dual use of the VHA and Medicare with mortality: separating the contributions of inpatient and outpatient services,10.1186/1472-6963-7-70
WOS:000361949000001,WOS:000244725900005,"Hynes, Denise M.",255,2007,45,214,MEDICAL CARE,Veterans' access to and use of Medicare and veterans affairs health care,10.1097/01.mlr.0000244657.90074.b7
WOS:000361949000001,WOS:000244122600041,"Jia, Huanguang",74,2007,38,355,STROKE,Multiple system utilization and mortality for veterans with stroke,10.1161/01.STR.0000254457.38901.fb
WOS:000361949000001,WOS:000241513600001,"Wolinsky, Fredric D.",81,2006,6,,BMC HEALTH SERVICES RESEARCH,Dual use of Medicare and the Veterans Health Administration: are there adverse health outcomes?,10.1186/1472-6963-6-131
WOS:000361949000001,WOS:000230126600024,"Hart, LG",589,2005,95,1149,AMERICAN JOURNAL OF PUBLIC HEALTH,Rural definitions for health policy and research,10.2105/AJPH.2004.042432
WOS:000361949000001,WOS:000227929200006,"Weeks, WB",45,2005,50,95,JOURNAL OF HEALTHCARE MANAGEMENT,Utilization of VA and medicare services by medicare-eligible veterans: The impact of additional access points in a rural setting,10.1097/00115514-200503000-00006
WOS:000361949000001,WOS:000086375400004,"Mooney, C",82,2000,50,1743,SOCIAL SCIENCE & MEDICINE,Is travel distance a barrier to veterans' use of VA hospitals for medical surgical care?,10.1016/S0277-9536(99)00414-1
WOS:000361949000001,WOS:000086223400003,"Morrill, R",256,1999,20,727,URBAN GEOGRAPHY,"Metropolitan, urban, and rural commuting areas: Toward a better depiction of the United States settlement system",10.2747/0272-3638.20.8.727
WOS:000361949000001,WOS:000080219800002,"Borowsky, S",128,1999,14,274,JOURNAL OF GENERAL INTERNAL MEDICINE,Dual use of VA and non-VA primary care,10.1046/j.1525-1497.1999.00335.x
WOS:000361949000001,WOS:000083697400005,"Kazis, LE",248,1999,14,28,AMERICAN JOURNAL OF MEDICAL QUALITY,Health status in VA patients: Results from the Veterans Health Study,10.1177/106286069901400105
WOS:000361949000001,WOS:000071181500004,"Elixhauser, A",6735,1998,36,8,MEDICAL CARE,Comorbidity measures for use with administrative data,10.1097/00005650-199801000-00004
WOS:000361949000001,WOS:A1997XL82600022,"Wilson, NJ",154,1997,16,200,HEALTH AFFAIRS,The VA health care system: An unrecognized national safety net,10.1377/hlthaff.16.4.200
