WoS Source UT,WoS Citing UT,WoS Times Cited
WOS:000361949000001,WOS:000836852400001,1
WOS:000361949000001,WOS:000820753600003,8
WOS:000361949000001,WOS:000766274700006,4
WOS:000361949000001,WOS:000764373500001,
WOS:000361949000001,WOS:000733838500015,5
WOS:000361949000001,WOS:000654080000001,1
WOS:000361949000001,WOS:000656059000001,3
WOS:000361949000001,WOS:000516756100001,7
WOS:000361949000001,WOS:000558810500001,1
WOS:000361949000001,WOS:000547292700001,2
WOS:000361949000001,WOS:000536253200006,6
WOS:000361949000001,WOS:000529980200001,9
WOS:000361949000001,WOS:000518165700012,3
WOS:000361949000001,WOS:000492002500001,6
WOS:000361949000001,WOS:000485751300004,7
WOS:000361949000001,WOS:000483415000014,8
WOS:000361949000001,WOS:000470867700002,6
WOS:000361949000001,WOS:000463070700002,18
WOS:000361949000001,WOS:000452470000004,4
WOS:000361949000001,WOS:000434112400014,8
WOS:000361949000001,WOS:000452701900019,3
WOS:000361949000001,WOS:000435054600008,12
WOS:000361949000001,WOS:000433381200009,12
WOS:000361949000001,WOS:000392438200008,14
WOS:000361949000001,WOS:000392438200006,7
WOS:000361949000001,WOS:000391612300169,26
WOS:000369635200017,WOS:000924511900002,
WOS:000369635200017,WOS:000898479100026,4
WOS:000369635200017,WOS:000867402300004,1
WOS:000369635200017,WOS:000836852400001,1
WOS:000369635200017,WOS:000805530700033,
WOS:000369635200017,WOS:000781700700001,
WOS:000369635200017,WOS:000766687600009,
WOS:000369635200017,WOS:000755152900025,
WOS:000369635200017,WOS:000732429100003,1
WOS:000369635200017,WOS:000728983400023,
WOS:000369635200017,WOS:000722032300001,
WOS:000369635200017,WOS:000722129900004,1
WOS:000369635200017,WOS:000696567800014,1
WOS:000369635200017,WOS:000664766500009,8
WOS:000369635200017,WOS:000657874800001,
WOS:000369635200017,WOS:000652197800001,
WOS:000369635200017,WOS:000636677000007,
WOS:000369635200017,WOS:000627262800015,3
WOS:000369635200017,WOS:000573895900012,10
WOS:000369635200017,WOS:000595906400001,
WOS:000369635200017,WOS:000581114600046,5
WOS:000369635200017,WOS:000586480800004,
WOS:000369635200017,WOS:000579894900012,4
WOS:000369635200017,WOS:000564151000006,1
WOS:000369635200017,WOS:000558637700012,3
WOS:000369635200017,WOS:000547292700001,2
WOS:000369635200017,WOS:000536775600003,1
WOS:000369635200017,WOS:000536253200006,6
WOS:000369635200017,WOS:000524507400003,4
WOS:000369635200017,WOS:000521961500003,1
WOS:000369635200017,WOS:000519576100001,3
WOS:000369635200017,WOS:000485001900010,7
WOS:000369635200017,WOS:000480788600003,3
WOS:000369635200017,WOS:000474304600030,15
WOS:000369635200017,WOS:000468153200013,
WOS:000369635200017,WOS:000467584100002,15
WOS:000369635200017,WOS:000466170000002,2
WOS:000369635200017,WOS:000461468300024,21
WOS:000369635200017,WOS:000454766200016,12
WOS:000369635200017,WOS:000452872200003,10
WOS:000369635200017,WOS:000453590600006,11
WOS:000369635200017,WOS:000446086400018,52
WOS:000369635200017,WOS:000447989500006,22
WOS:000369635200017,WOS:000442924700009,3
WOS:000369635200017,WOS:000441748300001,19
WOS:000369635200017,WOS:000438886000015,7
WOS:000369635200017,WOS:000437393100010,25
WOS:000369635200017,WOS:000436414100006,2
WOS:000369635200017,WOS:000435176700137,3
WOS:000369635200017,WOS:000439158800002,2
WOS:000369635200017,WOS:000434948300019,10
WOS:000369635200017,WOS:000432389900019,
WOS:000369635200017,WOS:000424088400006,4
WOS:000369635200017,WOS:000415870300023,5
WOS:000369635200017,WOS:000413092700016,6
WOS:000369635200017,WOS:000412175600045,2
WOS:000369635200017,WOS:000413307000009,5
WOS:000369635200017,WOS:000402715900028,24
WOS:000369635200017,WOS:000402491700040,7
WOS:000369635200017,WOS:000398091000006,36
WOS:000369635200017,WOS:000395452000005,9
WOS:000369635200017,WOS:000397166100007,4
WOS:000369635200017,WOS:000391303200087,4
WOS:000369635200017,WOS:000389561500006,58
WOS:000369635200017,WOS:000386564500025,5
WOS:000369635200017,WOS:000385940100015,
WOS:000369635200017,WOS:000379804800024,5
WOS:000369635200017,WOS:000378837000001,8
WOS:000369635200017,WOS:000372066100002,40
WOS:000369635200017,WOS:000369635200014,6
WOS:000426705100015,WOS:000926937800001,
WOS:000426705100015,WOS:000923488900001,
WOS:000426705100015,WOS:000912790400001,
WOS:000426705100015,WOS:000909479300001,
WOS:000426705100015,WOS:000902014700001,
WOS:000426705100015,WOS:000898419600001,
WOS:000426705100015,WOS:000903796400001,
WOS:000426705100015,WOS:000901813400001,
WOS:000426705100015,WOS:000902996500001,
WOS:000426705100015,WOS:000896129100001,1
WOS:000426705100015,WOS:000891998100001,
WOS:000426705100015,WOS:000890828100012,
WOS:000426705100015,WOS:000886628500027,
WOS:000426705100015,WOS:000886653200001,
WOS:000426705100015,WOS:000891767500003,
WOS:000426705100015,WOS:000886957500001,
WOS:000426705100015,WOS:000880422900005,
WOS:000426705100015,WOS:000877935700010,
WOS:000426705100015,WOS:000873604600001,
WOS:000426705100015,WOS:000873946500013,
WOS:000426705100015,WOS:000871428500001,
WOS:000426705100015,WOS:000863557600005,
WOS:000426705100015,WOS:000861726000005,
WOS:000426705100015,WOS:000860553500001,
WOS:000426705100015,WOS:000858988500001,
WOS:000426705100015,WOS:000854353000001,
WOS:000426705100015,WOS:000852865400017,
WOS:000426705100015,WOS:000852774200001,
WOS:000426705100015,WOS:000852468700001,1
WOS:000426705100015,WOS:000843536400001,
WOS:000426705100015,WOS:000839632300008,
WOS:000426705100015,WOS:000841435700001,1
WOS:000426705100015,WOS:000839635700006,2
WOS:000426705100015,WOS:000838514600001,
WOS:000426705100015,WOS:000838217100004,
WOS:000426705100015,WOS:000835808000001,1
WOS:000426705100015,WOS:000833545300030,1
WOS:000426705100015,WOS:000835521100002,
WOS:000426705100015,WOS:000831214700006,
WOS:000426705100015,WOS:000827582300007,
WOS:000426705100015,WOS:000823328000001,1
WOS:000426705100015,WOS:000818932100014,
WOS:000426705100015,WOS:000819276400001,
WOS:000426705100015,WOS:000813442100003,
WOS:000426705100015,WOS:000818048700001,2
WOS:000426705100015,WOS:000813798900001,1
WOS:000426705100015,WOS:000815468900001,
WOS:000426705100015,WOS:000813750100001,
WOS:000426705100015,WOS:000795077200020,
WOS:000426705100015,WOS:000800875200001,
WOS:000426705100015,WOS:000799460100001,
WOS:000426705100015,WOS:000797864100001,
WOS:000426705100015,WOS:000793675300018,18
WOS:000426705100015,WOS:000790338900001,4
WOS:000426705100015,WOS:000784781600001,13
WOS:000426705100015,WOS:000755144500029,45
WOS:000426705100015,WOS:000778606600014,1
WOS:000426705100015,WOS:000784228600007,1
WOS:000426705100015,WOS:000782623300012,1
WOS:000426705100015,WOS:000783381200002,1
WOS:000426705100015,WOS:000776720600001,2
WOS:000426705100015,WOS:000773615100012,
WOS:000426705100015,WOS:000770384200010,2
WOS:000426705100015,WOS:000770384200020,9
WOS:000426705100015,WOS:000771205500004,2
WOS:000426705100015,WOS:000769848700001,
WOS:000426705100015,WOS:000766570500007,
WOS:000426705100015,WOS:000760209700005,8
WOS:000426705100015,WOS:000760951000004,
WOS:000426705100015,WOS:000765309000021,63
WOS:000426705100015,WOS:000759692400001,1
WOS:000426705100015,WOS:000762506100001,1
WOS:000426705100015,WOS:000755175100036,1
WOS:000426705100015,WOS:000754618500017,2
WOS:000426705100015,WOS:000754618500011,
WOS:000426705100015,WOS:000755861500001,1
WOS:000426705100015,WOS:000758575200001,
WOS:000426705100015,WOS:000756232400009,1
WOS:000426705100015,WOS:000749839300009,2
WOS:000426705100015,WOS:000752128700001,
WOS:000426705100015,WOS:000748983300007,
WOS:000426705100015,WOS:000743612400022,1
WOS:000426705100015,WOS:000743612400024,
WOS:000426705100015,WOS:000734651600011,
WOS:000426705100015,WOS:000740758100001,1
WOS:000426705100015,WOS:000739799200024,3
WOS:000426705100015,WOS:000736266100001,11
WOS:000426705100015,WOS:000728887600004,10
WOS:000426705100015,WOS:000734028000001,6
WOS:000426705100015,WOS:000732927800005,16
WOS:000426705100015,WOS:000731609000008,1
WOS:000426705100015,WOS:000731609000005,6
WOS:000426705100015,WOS:000725694900008,
WOS:000426705100015,WOS:000729002000013,
WOS:000426705100015,WOS:000726651000008,2
WOS:000426705100015,WOS:000726809900005,2
WOS:000426705100015,WOS:000726737500003,2
WOS:000426705100015,WOS:000722615300001,2
WOS:000426705100015,WOS:000722372000001,7
WOS:000426705100015,WOS:000720504800008,1
WOS:000426705100015,WOS:000720316400001,2
WOS:000426705100015,WOS:000718150800001,
WOS:000426705100015,WOS:000715705900014,5
WOS:000426705100015,WOS:000709746800003,1
WOS:000426705100015,WOS:000716295500001,2
WOS:000426705100015,WOS:000711826100008,2
WOS:000426705100015,WOS:000709698000009,
WOS:000426705100015,WOS:000709732400011,35
WOS:000426705100015,WOS:000710763800001,
WOS:000426705100015,WOS:000707412900009,9
WOS:000426705100015,WOS:000707417300008,10
WOS:000426705100015,WOS:000706623700001,3
WOS:000426705100015,WOS:000705022800001,3
WOS:000426705100015,WOS:000705747800001,3
WOS:000426705100015,WOS:000704383600019,3
WOS:000426705100015,WOS:000703370200001,2
WOS:000426705100015,WOS:000702860000015,2
WOS:000426705100015,WOS:000698626100001,1
WOS:000426705100015,WOS:000697732300003,13
WOS:000426705100015,WOS:000696730400028,4
WOS:000426705100015,WOS:000693390200001,2
WOS:000426705100015,WOS:000689734900004,9
WOS:000426705100015,WOS:000688496500001,1
WOS:000426705100015,WOS:000688292100001,2
WOS:000426705100015,WOS:000687985000001,1
WOS:000426705100015,WOS:000685297500013,9
WOS:000426705100015,WOS:000686116400001,
WOS:000426705100015,WOS:000684345100002,
WOS:000426705100015,WOS:000683581100019,
WOS:000426705100015,WOS:000683772100004,14
WOS:000426705100015,WOS:000681136500001,3
WOS:000426705100015,WOS:000670889700009,7
WOS:000426705100015,WOS:000679356400001,2
WOS:000426705100015,WOS:000667119000006,2
WOS:000426705100015,WOS:000674553100001,
WOS:000426705100015,WOS:000673671700001,2
