pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
MM,WW,M,M,W,W,9,1997,17,2.833213344056216,0.6296296296296297,-0.46262352194811296,"Public, Environmental & Occupational Health",20,"Public, Environmental & Occupational Health",usa,1,44640
MM,WW,M,M,W,W,2,1998,11,2.3978952727983707,0.4230769230769231,-0.8602012652231115,Ecology; Evolutionary Biology,46,Ecology,usa,1,15143
MW,WW,M,W,W,W,3,1997,20,2.995732273553991,0.7407407407407407,-0.30010459245033816,Ecology; Evolutionary Biology; Genetics & Heredity,56,Ecology,united kingdom (great britain),1,16051
MM,WW,M,M,W,W,6,1998,21,3.044522437723423,0.8076923076923077,-0.21357410029805904,Meteorology & Atmospheric Sciences,31,Meteorology & Atmospheric Sciences,usa,1,46350
MM,WW,M,M,W,W,98,1998,13,2.5649493574615367,0.5,-0.6931471805599453,"Medicine, General & Internal",42,"Medicine, General & Internal",usa,1,17987
MM,NN,M,M,N,N,1,1997,7,1.9459101490553132,0.25925925925925924,-1.349926716949016,Ecology; Evolutionary Biology; Genetics & Heredity; Mathematical & Computational Biology,12,Ecology,usa,1,138590
MM,WW,M,M,W,W,44,1998,13,2.5649493574615367,0.5,-0.6931471805599453,Multidisciplinary Sciences,42,Multidisciplinary Sciences,usa,1,81135
MM,WW,M,M,W,W,3,1998,39,3.6635616461296463,1.5,0.4054651081081644,Biology; Ecology; Evolutionary Biology,24,Biology,united kingdom (great britain),1,36538
MW,WW,M,W,W,W,2,1998,12,2.4849066497880004,0.4615384615384616,-0.7731898882334817,Infectious Diseases,16,Infectious Diseases,usa,1,21037
MM,WW,M,M,W,W,8,1998,37,3.610917912644224,1.4230769230769231,0.35282137462274243,"Physics, Multidisciplinary",22,"Physics, Multidisciplinary",usa,1,20410
MM,WW,M,M,W,W,3,1998,15,2.70805020110221,0.5769230769230769,-0.5500463369192721,Parasitology,148,Parasitology,australia,1,16039
MM,WW,M,M,W,W,44,1998,11,2.3978952727983707,0.4230769230769231,-0.8602012652231115,Multidisciplinary Sciences,19,Multidisciplinary Sciences,usa,1,132264
MM,WW,M,M,W,W,7,1998,8,2.0794415416798357,0.3076923076923077,-1.1786549963416462,Veterinary Sciences,12,Veterinary Sciences,belgium,1,98103
MM,WW,M,M,W,W,26,1998,8,2.0794415416798357,0.3076923076923077,-1.1786549963416462,Immunology,128,Immunology,united kingdom (great britain),1,48065
MM,WW,M,M,W,W,1,1998,11,2.3978952727983707,0.4230769230769231,-0.8602012652231115,Veterinary Sciences,16,Veterinary Sciences,usa,1,82600
WM,WW,W,M,W,W,1,1998,17,2.833213344056216,0.6538461538461539,-0.424883193965266,Biology; Mathematical & Computational Biology,21,Biology,germany,1,15138
MM,WW,M,M,W,W,96,1998,7,1.9459101490553132,0.2692307692307692,-1.312186388966169,"Medicine, General & Internal",31,"Medicine, General & Internal",usa,1,90408
MM,WW,M,M,W,W,3,1998,8,2.0794415416798357,0.3076923076923077,-1.1786549963416462,Biology; Ecology; Evolutionary Biology,53,Biology,germany,1,44789
MM,WW,M,M,W,W,50,1998,1197,7.087573705557973,46.03846153846154,3.829477167536491,Multidisciplinary Sciences,27,Multidisciplinary Sciences,usa,1,16451
MM,WW,M,M,W,W,1,1998,11,2.3978952727983707,0.4230769230769231,-0.8602012652231115,Fisheries; Veterinary Sciences,30,Fisheries,usa,1,16032
MM,WW,M,M,W,W,19,1998,54,3.9889840465642745,2.076923076923077,0.7308875085427924,Microbiology,155,Microbiology,usa,1,24171
MM,WW,M,M,W,W,2,1998,49,3.8918202981106265,1.8846153846153848,0.63372376008914455,"Physics, Fluids & Plasmas; Physics, Mathematical",34,"Physics, Fluids & Plasmas",hungary,1,16753
